UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California San Diego,Evergreen Valley College,PHYS 4A,Not Articulated,,,,
University of California San Diego,Evergreen Valley College,PHYS 4B,Not Articulated,,,,
University of California Santa Barbara,Evergreen Valley College,MATH 3A,MATH 066 (4.00),MATH 071 (5.00),,,
University of California Santa Barbara,Evergreen Valley College,MATH 3B,MATH 067 (4.00),MATH 072 (5.00),,,
University of California Santa Barbara,Evergreen Valley College,MATH 4A,MATH 079 (3.00),,,,
University of California Santa Barbara,Evergreen Valley College,MATH 4B,MATH 078 (4.00),,,,
University of California Santa Barbara,Evergreen Valley College,CMPSC 16,COMSC 079C (3.00),ENGR 050 (4.00),,,
University of California Santa Barbara,Evergreen Valley College,CMPSC 24,COMSC 042 (3.00); COMSC 076 (3.00),,,,
University of California Santa Barbara,Evergreen Valley College,CMPSC 40,COMSC 080 (3.00),MATH 070 (4.00),,,
University of California Santa Barbara,Evergreen Valley College,CMPSC 32,Not Articulated,,,,
University of California Santa Barbara,Evergreen Valley College,CMPSC 64,COMSC 077 (3.00),,,,
University of California Santa Barbara,Evergreen Valley College,MATH 6A,MATH 073 (5.00),,,,
University of California Santa Barbara,Evergreen Valley College,PHYS 1,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 2,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),PHYS 007A (4.00); PHYS 007C (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 3; PHYS 3L,PHYS 004A (5.00); PHYS 004B (5.00),PHYS 007B (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 002A (4.00); PHYS 002B (4.00),,,,
University of California Santa Barbara,Evergreen Valley College,PHYS 7A,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 7B,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),PHYS 007A (4.00); PHYS 007B (4.00); PHYS 007C (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 7C,PHYS 004B (5.00); PHYS 004C (5.00),PHYS 007B (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 7D,PHYS 004C (5.00),PHYS 007C (4.00),,,
University of California Santa Barbara,Evergreen Valley College,PHYS 7L,PHYS 004A (5.00); PHYS 004B (5.00),PHYS 007A (4.00); PHYS 007B (4.00),,,
University of California Santa Barbara,Evergreen Valley College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 001A (5.00); CHEM 001B (5.00),,,,
University of California Santa Barbara,Evergreen Valley College,MCDB 1A; MCDB 1LL,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California Santa Barbara,Evergreen Valley College,MCDB 1B,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California Santa Barbara,Evergreen Valley College,PSTAT 120A,Not Articulated,,,,
University of California Santa Cruz,Evergreen Valley College,CSE 12,COMSC 077 (3.00),,,,
University of California Santa Cruz,Evergreen Valley College,CSE 16,COMSC 080 (3.00),MATH 070 (4.00),,,
University of California Santa Cruz,Evergreen Valley College,CSE 30,COMSC 076 (3.00),,,,
University of California Santa Cruz,Evergreen Valley College,MATH 19A,MATH 071 (5.00),MATH 066 (4.00),,,
University of California Santa Cruz,Evergreen Valley College,MATH 19B,MATH 072 (5.00),MATH 067 (4.00),,,
University of California Santa Cruz,Evergreen Valley College,AM 10,MATH 079 (3.00),,,,
University of California Santa Cruz,Evergreen Valley College,MATH 21,MATH 079 (3.00),,,,
University of California Santa Cruz,Evergreen Valley College,AM 30,MATH 073 (5.00),,,,
